DATE,DEPTH,CHLORA
2009-01-19,100,1.35
2009-01-19,500,1.34
2009-01-19,1000,0.69
2009-01-19,1500,0.56
2009-01-19,2000,0.33
2009-01-19,2500,0.31
2009-02-10,100,
2009-02-10,500,
2009-02-10,1000,
2009-02-10,1500,
2009-02-10,2000,
2009-02-10,2500,
2009-03-02,100,0.46
2009-03-02,500,0.46
2009-03-02,1000,0.54
2009-03-02,1500,0.8
2009-03-02,2000,0.93
2009-03-02,2500,1.2
2009-04-24,100,1.32
2009-04-24,500,1.59
2009-04-24,1000,2.6
2009-04-24,1500,
2009-04-24,2000,0.92
2009-04-24,2500,0.31
2009-05-20,100,1.02
2009-05-20,500,1.15
2009-05-20,1000,1.1
2009-05-20,1500,1.23
2009-05-20,2000,0.41
2009-05-20,2500,0.37
2009-06-23,100,1.26
2009-06-23,500,1.3
2009-06-23,1000,1.57
2009-06-23,1500,2.02
2009-06-23,2000,0.77
2009-06-23,2500,0.48
2009-07-14,100,3.16
2009-07-14,500,3.39
2009-07-14,1000,2.77
2009-07-14,1500,2.05
2009-07-14,2000,1.43
2009-07-14,2500,0.77
2009-08-20,100,1.14
2009-08-20,500,0.99
2009-08-20,1000,2.63
2009-08-20,1500,3.25
2009-08-20,2000,2.51
2009-08-20,2500,2.11
2009-09-15,100,3.14
2009-09-15,500,3.31
2009-09-15,1000,2.88
2009-09-15,1500,2.76
2009-09-15,2000,1.1
2009-09-15,2500,
2009-10-19,100,2.85
2009-10-19,500,2.79
2009-10-19,1000,3.03
2009-10-19,1500,2.09
2009-10-19,2000,1.36
2009-10-19,2500,1.36
2009-11-04,0,
2009-12-15,100,6.02
2009-12-15,500,6.15
2009-12-15,1000,6.6
2009-12-15,1500,7.09
2009-12-15,2000,2.63
2009-12-15,2500,0.97
2010-01-19,100,
2010-01-19,500,
2010-01-19,1000,
2010-01-19,1500,
2010-01-19,2000,
2010-01-19,2500,
2010-02-11,0,
2010-03-19,100,1.43
2010-03-19,500,1.4
2010-03-19,1000,1.49
2010-03-19,1500,1.6
2010-03-19,2000,1.21
2010-03-19,2500,1.44
2010-04-26,100,1.55
2010-04-26,500,1.2
2010-04-26,1000,0.99
2010-04-26,1500,0.54
2010-04-26,2000,0.32
2010-04-26,2500,0.32
2010-05-19,100,0.85
2010-05-19,500,1.12
2010-05-19,1000,1.53
2010-05-19,1500,0.69
2010-05-19,2000,0.38
2010-05-19,2500,0.3
2010-06-02,100,1.55
2010-06-02,500,1.55
2010-06-02,1000,2.3
2010-06-02,1500,1.91
2010-06-02,2000,0.92
2010-06-02,2500,0.24
2010-07-01,100,0.88
2010-07-01,500,0.92
2010-07-01,1000,1.77
2010-07-01,1500,2.35
2010-07-01,2000,2.43
2010-07-01,2500,0.85
2010-08-10,100,1.44
2010-08-10,500,1.6
2010-08-10,1000,1.91
