DATE,DEPTH,CTDSAL
2009-01-19,100,18.66
2009-01-19,500,18.68
2009-01-19,1000,19.39
2009-01-19,1500,19.93
2009-01-19,2000,20.15
2009-01-19,2500,20.33
2009-02-10,100,16.93
2009-02-10,500,16.95
2009-02-10,1000,17.04
2009-02-10,1500,17.48
2009-02-10,2000,17.77
2009-02-10,2500,18.11
2009-03-02,100,15.55
2009-03-02,500,15.62
2009-03-02,1000,15.9
2009-03-02,1500,16.93
2009-03-02,2000,17.44
2009-03-02,2500,17.51
2009-04-24,100,14.99
2009-04-24,500,15.77
2009-04-24,1000,16.02
2009-04-24,1500,16.4
2009-04-24,2000,17.21
2009-04-24,2500,19.73
2009-05-20,100,14.83
2009-05-20,500,14.92
2009-05-20,1000,15.17
2009-05-20,1500,18.98
2009-05-20,2000,20.16
2009-05-20,2500,21.11
2009-06-23,100,16.02
2009-06-23,500,16.03
2009-06-23,1000,16.03
2009-06-23,1500,19.28
2009-06-23,2000,20.63
2009-06-23,2500,21.15
2009-07-14,100,16.45
2009-07-14,500,16.57
2009-07-14,1000,17.02
2009-07-14,1500,19.15
2009-07-14,2000,20.2
2009-07-14,2500,21.13
2009-08-20,100,15.61
2009-08-20,500,15.9
2009-08-20,1000,19.13
2009-08-20,1500,20.47
2009-08-20,2000,21.56
2009-08-20,2500,23.36
2009-09-15,100,17.93
2009-09-15,500,17.94
2009-09-15,1000,17.94
2009-09-15,1500,17.94
2009-09-15,2000,21.91
2009-09-15,2500,22.74
2009-10-19,100,19.31
2009-10-19,500,19.32
2009-10-19,1000,19.33
2009-10-19,1500,19.39
2009-10-19,2000,19.92
2009-10-19,2500,20.37
2009-11-04,0,
2009-12-15,100,17.17
2009-12-15,500,17.37
2009-12-15,1000,17.52
2009-12-15,1500,17.94
2009-12-15,2000,22.2
2009-12-15,2500,24.28
2010-01-19,100,17.45
2010-01-19,500,17.46
2010-01-19,1000,17.46
2010-01-19,1500,17.51
2010-01-19,2000,17.53
2010-01-19,2500,21.29
2010-02-11,0,
2010-03-19,100,16.61
2010-03-19,500,16.6
2010-03-19,1000,16.59
2010-03-19,1500,16.84
2010-03-19,2000,20.7
2010-03-19,2500,21.14
2010-04-26,100,13.79
2010-04-26,500,14.17
2010-04-26,1000,18.44
2010-04-26,1500,19.68
2010-04-26,2000,21.61
2010-04-26,2500,22.13
2010-05-19,100,13.54
2010-05-19,500,13.54
2010-05-19,1000,13.54
2010-05-19,1500,16.32
2010-05-19,2000,20.71
2010-05-19,2500,21.71
2010-06-02,100,13.05
2010-06-02,500,13.07
2010-06-02,1000,13.5
2010-06-02,1500,17.91
2010-06-02,2000,20.6
2010-06-02,2500,21.54
2010-07-01,100,12.73
2010-07-01,500,12.71
2010-07-01,1000,13.99
2010-07-01,1500,16.2
2010-07-01,2000,18.786
2010-07-01,2500,21.114
2010-08-10,100,12.5
2010-08-10,500,12.65
2010-08-10,1000,15.57
2010-08-10,1500,18.94
2010-08-10,2000,22.12
2010-08-10,2500,24.74
2010-09-21,100,15.34
2010-09-21,500,15.55
2010-09-21,1000,16.56
2010-09-21,1500,17.44
2010-09-21,2000,21.56
2010-09-21,2500,22.33
2010-10-13,100,16.27
2010-10-13,500,16.28
2010-10-13,1000,16.78
2010-10-13,1500,17.06
2010-10-13,2000,18.64
2010-10-13,2500,21.08
2010-11-16,100,19.34
2010-11-16,500,19.44
2010-11-16,1000,20.26
2010-11-16,1500,20.79
2010-11-16,2000,22.63
2010-11-16,2500,22.76
2010-12-03,0,
2011-01-19,0,
2011-02-18,100,18.46
2011-02-18,500,18.46
2011-02-18,1000,18.46
2011-02-18,1500,18.53
2011-02-18,2000,22.67
2011-02-18,2500,23.05
2011-03-08,100,14.24
2011-03-08,500,16.22
2011-03-08,1000,17.17
2011-03-08,1500,17.84
2011-03-08,2000,18.79
2011-03-08,2500,22.3
2011-04-19,100,17.0
2011-04-19,500,16.95
2011-04-19,1000,17.48
2011-04-19,1500,18.67
2011-04-19,2000,20.947
2011-04-19,2500,21.575
2011-05-13,100,14.06
2011-05-13,500,14.19
2011-05-13,1000,15.75
2011-05-13,1500,16.59
2011-05-13,2000,18.87
2011-05-13,2500,20.88
2011-06-21,100,15.58
2011-06-21,500,15.79
2011-06-21,1000,18.14
2011-06-21,1500,20.66
2011-06-21,2000,21.79
2011-06-21,2500,22.14
2011-07-25,100,16.44
2011-07-25,500,16.87
2011-07-25,1000,17.85
2011-07-25,1500,20.26
2011-07-25,2000,21.44
2011-07-25,2500,22.46
2011-08-01,100,14.2
2011-08-01,500,14.23
2011-08-01,1000,15.89
2011-08-01,1500,17.54
2011-08-01,2000,21.4
2011-08-01,2500,22.84
2011-08-01,900,14.51
2011-08-01,2800,23.19
2011-09-21,100,20.648
2011-09-21,500,20.656
2011-09-21,1000,21.711
2011-09-21,1500,22.57
2011-09-21,2000,23.272
2011-09-21,2500,23.544
2011-09-21,2750,23.636
2011-10-13,0,
2011-10-18,0,
2011-10-21,0,
2011-11-08,100,20.82
2011-11-08,500,20.81
2011-11-08,1000,20.83
2011-11-08,1500,20.87
2011-11-08,2000,20.94
2011-11-08,2500,22.18
2011-11-08,2700,23.46
2011-12-09,0,
2012-01-11,100,21.0
2012-01-11,500,21.0
2012-01-11,1000,21.01
2012-01-11,1500,21.1
2012-01-11,2000,22.11
2012-01-11,2500,22.39
2012-01-11,2700,22.37
2012-02-13,0,
2012-03-13,100,16.032
2012-03-13,500,16.032
2012-03-13,1000,16.038
2012-03-13,1500,16.077
2012-03-13,2000,17.877
2012-03-13,2500,18.972
2012-04-10,100,16.295
2012-04-10,500,16.297
2012-04-10,1000,16.317
2012-04-10,1500,16.992
2012-04-10,2000,17.394
2012-04-10,2500,17.923
2012-05-14,100,13.3
2012-05-14,500,13.47
2012-05-14,1000,14.43
2012-05-14,1500,16.33
2012-05-14,2000,17.66
2012-05-14,2500,17.77
2012-06-26,100,14.673
2012-06-26,500,14.677
2012-06-26,1000,15.239
2012-06-26,1500,16.737
2012-06-26,2000,17.87
2012-06-26,2500,18.803
2012-07-16,100,15.194
2012-07-16,500,15.198
2012-07-16,1000,15.957
2012-07-16,1500,16.906
2012-07-16,2000,18.362
2012-07-16,2500,18.639
2012-08-07,100,16.829
2012-08-07,500,16.892
2012-08-07,1000,18.795
2012-08-07,1500,19.056
2012-08-07,2000,20.708
2012-08-07,2500,22.979
2012-09-27,100,18.947
2012-09-27,500,18.996
2012-09-27,1000,22.378
2012-09-27,1500,22.639
2012-09-27,2000,22.806
2012-09-27,2500,22.953
2012-10-02,100,21.019
2012-10-02,500,21.075
2012-10-02,1000,21.487
2012-10-02,1500,22.216
2012-10-02,2000,22.903
2012-10-02,2500,23.584
2012-11-06,100,18.926
2012-11-06,500,18.933
2012-11-06,1000,18.961
2012-11-06,1500,19.607
2012-11-06,2000,21.243
2012-11-06,2500,21.6
2012-12-04,100,18.054
2012-12-04,500,18.089
2012-12-04,1000,19.133
2012-12-04,1500,19.511
2012-12-04,2000,19.696
2012-12-04,2500,19.838
2013-01-01,0,
2013-02-06,100,15.576
2013-02-06,500,15.579
2013-02-06,1000,15.592
2013-02-06,1500,15.891
2013-02-06,2000,18.101
2013-02-06,2500,19.653
2013-03-05,100,14.043
2013-03-05,500,15.086
2013-03-05,1000,15.344
2013-03-05,1500,15.427
2013-03-05,2000,17.575
2013-03-05,2500,20.356
2013-04-03,100,12.769
2013-04-03,500,13.351
2013-04-03,1000,13.774
2013-04-03,1500,13.926
2013-04-03,2000,14.144
2013-04-03,2500,14.648
2013-05-24,100,13.05
2013-05-24,500,15.151
