DATE,DEPTH,OXY
2009-01-19,100,329.6
2009-01-19,500,330.9
2009-01-19,1000,311.7
2009-01-19,1500,295.7
2009-01-19,2000,284.7
2009-01-19,2500,279.5
2009-02-10,100,375.9
2009-02-10,500,370.6
2009-02-10,1000,376.3
2009-02-10,1500,372.3
2009-02-10,2000,361.4
2009-02-10,2500,347.0
2009-03-02,100,398.4
2009-03-02,500,379.4
2009-03-02,1000,383.5
2009-03-02,1500,381.1
2009-03-02,2000,333.0
2009-03-02,2500,324.4
2009-04-24,100,345.0
2009-04-24,500,348.1
2009-04-24,1000,349.3
2009-04-24,1500,343.9
2009-04-24,2000,314.5
2009-04-24,2500,213.2
2009-05-20,100,285.1
2009-05-20,500,287.1
2009-05-20,1000,317.3
2009-05-20,1500,266.7
2009-05-20,2000,239.1
2009-05-20,2500,196.6
2009-06-23,100,301.1
2009-06-23,500,275.4
2009-06-23,1000,303.0
2009-06-23,1500,241.4
2009-06-23,2000,171.0
2009-06-23,2500,135.0
2009-07-14,100,294.7
2009-07-14,500,295.8
2009-07-14,1000,278.9
2009-07-14,1500,226.3
2009-07-14,2000,134.2
2009-07-14,2500,39.9
2009-08-20,100,269.1
2009-08-20,500,267.6
2009-08-20,1000,263.5
2009-08-20,1500,90.2
2009-08-20,2000,70.1
2009-08-20,2500,51.4
2009-09-15,100,278.0
2009-09-15,500,277.4
2009-09-15,1000,276.9
2009-09-15,1500,276.1
2009-09-15,2000,69.5
2009-09-15,2500,41.4
2009-10-19,100,296.6
2009-10-19,500,296.9
2009-10-19,1000,295.7
2009-10-19,1500,295.5
2009-10-19,2000,295.0
2009-10-19,2500,279.2
2009-11-04,0,
2009-12-15,100,359.5
2009-12-15,500,356.6
2009-12-15,1000,340.4
2009-12-15,1500,318.0
2009-12-15,2000,266.2
2009-12-15,2500,219.1
2010-01-19,100,388.6
2010-01-19,500,390.2
2010-01-19,1000,388.2
2010-01-19,1500,386.6
2010-01-19,2000,324.2
2010-01-19,2500,210.1
2010-02-11,0,
2010-03-19,100,442.5
2010-03-19,500,443.4
2010-03-19,1000,433.4
2010-03-19,1500,357.2
2010-03-19,2000,290.5
2010-03-19,2500,298.1
2010-04-26,100,359.5
2010-04-26,500,359.2
2010-04-26,1000,357.9
2010-04-26,1500,314.6
2010-04-26,2000,243.4
2010-04-26,2500,232.9
2010-05-19,100,340.6
2010-05-19,500,341.1
2010-05-19,1000,336.9
2010-05-19,1500,306.0
2010-05-19,2000,211.7
2010-05-19,2500,167.3
2010-06-02,100,326.6
2010-06-02,500,330.4
2010-06-02,1000,324.4
2010-06-02,1500,297.1
2010-06-02,2000,234.4
2010-06-02,2500,114.6
2010-07-01,100,298.0
2010-07-01,500,295.8
2010-07-01,1000,284.3
2010-07-01,1500,280.8
2010-07-01,2000,188.8
2010-07-01,2500,70.9
2010-08-10,100,276.7
2010-08-10,500,275.2
2010-08-10,1000,245.8
2010-08-10,1500,157.7
2010-08-10,2000,75.7
2010-08-10,2500,28.5
2010-09-21,100,285.4
2010-09-21,500,286.5
2010-09-21,1000,272.2
2010-09-21,1500,205.5
2010-09-21,2000,34.1
2010-09-21,2500,10.3
2010-10-13,100,300.1
2010-10-13,500,299.5
2010-10-13,1000,295.9
2010-10-13,1500,280.2
2010-10-13,2000,179.0
2010-10-13,2500,26.6
2010-11-16,100,305.8
2010-11-16,500,296.7
2010-11-16,1000,276.3
2010-11-16,1500,267.0
2010-11-16,2000,246.6
2010-11-16,2500,243.8
2010-12-03,0,
2011-01-19,0,
2011-02-18,100,384.5
2011-02-18,500,386.0
2011-02-18,1000,385.9
2011-02-18,1500,383.4
2011-02-18,2000,329.2
2011-02-18,2500,325.7
2011-03-08,100,479.4
2011-03-08,500,439.2
2011-03-08,1000,425.7
2011-03-08,1500,400.4
2011-03-08,2000,365.6
2011-03-08,2500,297.9
2011-04-19,100,391.7
2011-04-19,500,387.2
2011-04-19,1000,346.3
2011-04-19,1500,325.6
2011-04-19,2000,302.3
