DATE,DEPTH,CTDSAL
30/04/1957,1000,15.7
30/04/1957,500,15.3
30/04/1957,2000,17
30/04/1957,1500,16.4
30/04/1957,2600,17.4
30/04/1957,100,15.3
14/05/1957,500,15.4
14/05/1957,2600,18.4
14/05/1957,100,15.4
14/05/1957,1500,17
14/05/1957,2000,17.4
14/05/1957,1000,15.8
04/06/1957,2000,17.6
04/06/1957,100,14.7
04/06/1957,500,14.7
04/06/1957,1000,15
04/06/1957,2600,18.4
04/06/1957,1500,15.6
14/06/1957,1500,15.5
14/06/1957,1000,14.9
14/06/1957,100,14.8
14/06/1957,500,14.8
14/06/1957,2600,18.8
14/06/1957,2000,18.2
05/07/1957,1000,15.8
05/07/1957,2600,21.8
05/07/1957,2000,20.2
05/07/1957,500,14.7
05/07/1957,1500,19.1
05/07/1957,100,14.6
30/07/1957,2600,24.5
30/07/1957,1500,18.6
30/07/1957,1000,15.7
30/07/1957,100,13.7
30/07/1957,2000,21.2
30/07/1957,500,15.3
09/09/1957,1500,23.2
09/09/1957,1000,
09/09/1957,2600,
09/09/1957,500,
09/09/1957,2000,23.6
09/09/1957,100,15.7
31/10/1957,100,19
31/10/1957,1000,20.4
31/10/1957,2600,22.4
31/10/1957,1500,21.8
31/10/1957,500,19
31/10/1957,2000,21.9
07/11/1957,1000,19.7
07/11/1957,500,18.8
07/11/1957,100,18.8
07/11/1957,2600,21.7
07/11/1957,2000,20.9
07/11/1957,1500,20
28/11/1957,500,15.8
28/11/1957,1000,15.8
28/11/1957,2600,19.7
28/11/1957,1500,18.6
28/11/1957,2000,19.6
28/11/1957,100,15.7
19/12/1957,2000,16.8
19/12/1957,1500,16.6
19/12/1957,100,16.5
19/12/1957,2600,17.2
19/12/1957,500,16.5
19/12/1957,1000,16.5
15/01/1958,500,17.5
15/01/1958,1500,17.6
15/01/1958,2000,17.7
15/01/1958,100,17.5
15/01/1958,1000,17.5
15/01/1958,2600,19.1
31/01/1958,1000,17.3
31/01/1958,2600,19.9
31/01/1958,100,17.1
31/01/1958,1500,17.5
31/01/1958,2000,17.6
31/01/1958,500,17.2
20/03/1958,1500,14.6
20/03/1958,500,14.4
20/03/1958,2600,16.4
20/03/1958,2000,16.3
20/03/1958,1000,14.5
20/03/1958,100,14.3
10/04/1958,1500,14.1
10/04/1958,2000,14.9
10/04/1958,100,11.4
10/04/1958,1000,13.8
10/04/1958,500,12.4
10/04/1958,2600,15.1
07/05/1958,500,13.7
07/05/1958,2000,14.1
07/05/1958,100,13.6
07/05/1958,1000,14
07/05/1958,1500,14
07/05/1958,2600,14.9
30/05/1958,500,13.9
30/05/1958,2000,19.4
30/05/1958,1500,16.2
30/05/1958,2600,20.5
30/05/1958,100,13.9
30/05/1958,1000,14.1
19/06/1958,100,12.6
19/06/1958,500,12.6
19/06/1958,1500,15.3
19/06/1958,1000,13.6
19/06/1958,2000,18.2
19/06/1958,2600,19.7
02/07/1958,1000,12.2
02/07/1958,2000,18.8
02/07/1958,2600,20.4
02/07/1958,500,12.2
02/07/1958,1500,14.9
02/07/1958,100,12.1
23/07/1958,2000,21.4
23/07/1958,100,13.1
23/07/1958,2600,21.6
23/07/1958,1500,20.1
23/07/1958,1000,19.4
23/07/1958,500,13.2
16/08/1958,500,16.1
16/08/1958,1000,16.9
16/08/1958,2600,21.4
16/08/1958,100,16.1
16/08/1958,2000,20.9
16/08/1958,1500,19.4
01/09/1958,500,15.7
01/09/1958,100,15.5
01/09/1958,2000,16.9
01/09/1958,1000,15.8
01/09/1958,2600,20.3
01/09/1958,1500,16
28/10/1958,500,15.8
28/10/1958,1500,20.2
28/10/1958,100,15.7
28/10/1958,2000,22.8
28/10/1958,1000,16.4
28/10/1958,2600,23.4
25/11/1958,1500,19.8
25/11/1958,2000,21.2
25/11/1958,500,18.5
25/11/1958,2600,23.1
25/11/1958,1000,18.6
25/11/1958,100,18.5
17/12/1958,500,17.3
17/12/1958,1500,19.9
17/12/1958,1000,17.7
17/12/1958,2600,21.6
17/12/1958,2000,21.4
17/12/1958,100,17.2
20/01/1959,1000,19.3
20/01/1959,500,19.3
20/01/1959,1500,19.4
20/01/1959,2600,22.3
20/01/1959,2000,21.4
20/01/1959,100,19.1
11/02/1959,500,19.4
11/02/1959,1500,19.8
11/02/1959,2600,21.4
11/02/1959,1000,19.4
11/02/1959,2000,20.2
11/02/1959,100,19.4
09/03/1959,1000,18.4
09/03/1959,2600,19.8
09/03/1959,100,16.9
09/03/1959,2000,19.6
09/03/1959,1500,19.3
09/03/1959,500,16.9
24/03/1959,2000,18.5
24/03/1959,1000,18.2
24/03/1959,500,18
24/03/1959,100,17.3
24/03/1959,1500,18.3
24/03/1959,2600,19.8
12/05/1959,500,15.1
12/05/1959,100,14.9
12/05/1959,1000,15.6
12/05/1959,2000,19.8
12/05/1959,2600,20.8
12/05/1959,1500,16.9
09/06/1959,1500,19.9
09/06/1959,2000,20.8
09/06/1959,1000,19.3
09/06/1959,100,14.5
09/06/1959,500,14.5
09/06/1959,2600,21.5
06/07/1959,1500,20.4
06/07/1959,2600,23.8
06/07/1959,2000,21.7
06/07/1959,100,16.4
06/07/1959,500,16.5
06/07/1959,1000,17.2
23/07/1959,100,16
23/07/1959,2000,21.3
23/07/1959,1000,16.3
23/07/1959,1500,18.1
23/07/1959,2600,22.8
23/07/1959,500,16.1
28/08/1959,1500,15.7
28/08/1959,1000,14.5
28/08/1959,100,14.4
28/08/1959,2600,23
28/08/1959,500,14.4
28/08/1959,2000,19.8
09/10/1959,100,19.2
09/10/1959,1000,19.2
09/10/1959,2600,22.5
09/10/1959,2000,22.2
09/10/1959,500,19.2
09/10/1959,1500,19.7
26/10/1959,2600,22.1
26/10/1959,1000,18.9
26/10/1959,1500,19.3
26/10/1959,2000,21.8
26/10/1959,100,18.9
26/10/1959,500,18.9
19/12/1959,2600,18.6
19/12/1959,100,18
19/12/1959,2000,18.4
19/12/1959,1500,18.1
19/12/1959,1000,18
19/12/1959,500,18
06/01/1960,2000,23.9
06/01/1960,500,18.3
06/01/1960,1000,18.4
06/01/1960,100,18.1
06/01/1960,1500,21.2
06/01/1960,2600,24.3
26/01/1960,500,20.2
26/01/1960,100,20.1
26/01/1960,1000,20.4
26/01/1960,2000,23
26/01/1960,2600,23.7
26/01/1960,1500,22.1
11/02/1960,1000,20.2
11/02/1960,100,19.8
11/02/1960,2000,22.1
11/02/1960,2600,23
11/02/1960,1500,20.7
11/02/1960,500,19.9
02/03/1960,2600,21.7
02/03/1960,1500,20.5
02/03/1960,2000,20.5
02/03/1960,100,20.4
02/03/1960,1000,20.4
02/03/1960,500,20.4
31/03/1960,500,17.9
31/03/1960,2600,20
31/03/1960,100,17.8
31/03/1960,2000,18.7
31/03/1960,1500,18.5
31/03/1960,1000,18.4
27/04/1960,1500,16.5
27/04/1960,100,16.3
27/04/1960,500,16.4
27/04/1960,2600,18.4
27/04/1960,2000,16.6
27/04/1960,1000,16.5
30/05/1960,500,15
30/05/1960,2000,21.9
30/05/1960,100,14.9
30/05/1960,1000,16.6
