DATE,DEPTH,CTDTMP
1957-04-30,1000,6.1
1957-04-30,500,5.4
1957-04-30,2000,4.3
1957-04-30,1500,4.5
1957-04-30,2600,4.3
1957-04-30,100,7.7
1957-05-14,500,8.7
1957-05-14,2600,6.5
1957-05-14,100,8.7
1957-05-14,1500,6.4
1957-05-14,2000,6.3
1957-05-14,1000,7.2
1957-06-04,2000,6.7
1957-06-04,100,13.4
1957-06-04,500,13.2
1957-06-04,1000,10.2
1957-06-04,2600,6.4
1957-06-04,1500,8.8
1957-06-14,1500,10.5
1957-06-14,1000,12.6
1957-06-14,100,13.9
1957-06-14,500,13.5
1957-06-14,2600,6.4
1957-06-14,2000,6.6
1957-07-05,1000,11.0
1957-07-05,2600,8.2
1957-07-05,2000,8.4
1957-07-05,500,18.3
1957-07-05,1500,8.3
1957-07-05,100,18.9
1957-07-30,2600,
1957-07-30,1500,9.2
1957-07-30,1000,16.3
1957-07-30,100,17.4
1957-07-30,2000,9.0
1957-07-30,500,17.4
1957-09-09,1500,12.8
1957-09-09,1000,12.5
1957-09-09,2600,11.1
1957-09-09,500,14.7
1957-09-09,2000,12.0
1957-09-09,100,
1957-10-31,100,10.9
1957-10-31,1000,11.1
1957-10-31,2600,11.5
1957-10-31,1500,11.3
1957-10-31,500,10.9
1957-10-31,2000,11.4
1957-11-07,1000,10.2
1957-11-07,500,10.1
1957-11-07,100,10.1
1957-11-07,2600,10.9
1957-11-07,2000,11.0
1957-11-07,1500,10.5
1957-11-28,500,7.2
1957-11-28,1000,7.2
1957-11-28,2600,9.2
1957-11-28,1500,8.1
1957-11-28,2000,9.4
1957-11-28,100,7.2
1957-12-19,2000,4.7
1957-12-19,1500,4.2
1957-12-19,100,3.7
1957-12-19,2600,5.1
1957-12-19,500,3.7
1957-12-19,1000,3.7
1958-01-15,500,2.5
1958-01-15,1500,2.5
1958-01-15,2000,2.9
1958-01-15,100,2.5
1958-01-15,1000,2.5
1958-01-15,2600,3.4
1958-01-31,1000,1.6
1958-01-31,2600,3.9
1958-01-31,100,1.1
1958-01-31,1500,1.7
1958-01-31,2000,1.8
1958-01-31,500,1.5
1958-03-20,1500,0.3
1958-03-20,500,0.4
1958-03-20,2600,0.8
1958-03-20,2000,0.3
1958-03-20,1000,0.5
1958-03-20,100,0.4
1958-04-10,1500,1.6
1958-04-10,2000,1.2
1958-04-10,100,2.0
1958-04-10,1000,2.0
1958-04-10,500,2.3
1958-04-10,2600,2.1
1958-05-07,500,5.7
1958-05-07,2000,3.9
1958-05-07,100,5.2
1958-05-07,1000,4.5
1958-05-07,1500,4.2
1958-05-07,2600,5.4
1958-05-30,500,11.0
1958-05-30,2000,5.3
1958-05-30,1500,6.8
1958-05-30,2600,5.0
1958-05-30,100,11.3
1958-05-30,1000,10.1
1958-06-19,100,14.3
1958-06-19,500,14.3
1958-06-19,1500,9.4
1958-06-19,1000,13.2
1958-06-19,2000,6.1
1958-06-19,2600,5.1
1958-07-02,1000,13.9
1958-07-02,2000,6.2
1958-07-02,2600,5.0
1958-07-02,500,17.1
1958-07-02,1500,11.5
1958-07-02,100,17.2
1958-07-23,2000,7.6
1958-07-23,100,15.6
1958-07-23,2600,7.3
1958-07-23,1500,12.3
1958-07-23,1000,13.4
1958-07-23,500,15.6
1958-08-16,500,16.4
1958-08-16,1000,15.8
1958-08-16,2600,9.5
1958-08-16,100,16.5
1958-08-16,2000,10.5
1958-08-16,1500,13.7
1958-09-01,500,16.8
1958-09-01,100,16.9
1958-09-01,2000,15.9
1958-09-01,1000,15.9
1958-09-01,2600,16.8
1958-09-01,1500,15.9
1958-10-28,500,11.7
1958-10-28,1500,12.1
1958-10-28,100,11.7
1958-10-28,2000,12.2
1958-10-28,1000,11.9
1958-10-28,2600,12.2
