DATE,DEPTH,NH4
1979-03-12,100,1.1
1979-03-12,2700,3.0
1979-03-12,1000,1.3
1979-03-12,500,1.1
1979-03-12,1500,1.8
1979-03-12,2000,2.8
1979-04-04,2000,2.8
1979-04-04,2500,4.8
1979-04-04,1500,1.4
1979-04-04,100,1.1
1979-04-04,1000,1.5
1979-04-04,500,1.2
1979-04-19,100,2.3
1979-04-19,2000,5.3
1979-04-19,1500,3.0
1979-04-19,1000,2.1
1979-04-19,500,2.4
1979-04-19,2600,
1979-07-09,1500,0.9
1979-07-09,2000,5.4
1979-07-09,100,0.7
1979-07-09,1000,0.7
1979-07-09,500,0.8
1979-07-09,2600,3.3
1979-08-15,2600,5.5
1979-08-15,500,0.7
1979-08-15,1500,0.8
1979-08-15,100,0.8
1979-08-15,2000,0.9
1979-08-15,1000,0.8
1979-09-02,1000,0.0
1979-09-02,1500,0.3
1979-09-02,500,0.0
1979-09-02,2800,1.7
1979-09-02,2500,0.9
1979-09-02,2000,0.2
1979-10-01,2600,2.9
1979-10-01,1000,0.6
1979-10-01,2000,5.6
1979-10-01,500,0.7
1979-10-01,100,0.6
1979-10-01,1500,0.9
1979-11-22,2600,0.1
1979-11-22,1500,0.1
1979-11-22,100,0.1
1979-11-22,2000,0.0
1979-11-22,1000,0.0
1979-11-22,500,0.1
1980-01-28,2000,2.4
1980-01-28,100,1.5
1980-01-28,1000,1.6
1980-01-28,500,1.7
1980-01-28,2500,2.3
1980-01-28,1500,2.3
1980-02-11,100,10.0
1980-02-11,2800,14.3
1980-03-24,2500,0.9
1980-03-24,2000,1.0
1980-03-24,100,1.0
1980-03-24,1500,0.9
1980-03-24,500,1.0
1980-03-24,1000,0.9
1980-05-05,2800,14.3
1980-05-05,100,7.1
1980-05-06,2000,2.5
1980-05-06,2600,2.5
1980-05-06,100,0.3
1980-05-06,500,0.4
1980-05-06,1500,1.1
1980-05-06,1000,0.9
1980-07-21,1000,1.0
1980-07-21,2000,1.3
1980-07-21,500,1.2
1980-07-21,2600,1.4
1980-07-21,1500,1.0
1980-07-21,100,1.0
1980-09-05,500,0.0
1980-09-05,2000,0.1
1980-09-05,2500,5.2
1980-09-05,1000,0.0
1980-09-05,1500,0.0
1980-09-05,2800,8.9
1980-09-22,1000,1.0
1980-09-22,1500,1.1
1980-09-22,2000,1.1
1980-09-22,2600,8.4
1980-09-22,500,1.0
1980-09-22,100,1.0
1980-11-24,100,7.1
1980-11-24,2900,10.7
1980-11-28,1500,1.3
1980-11-28,2500,1.3
1980-11-28,500,1.4
1980-11-28,100,1.3
1980-11-28,2000,1.3
1980-11-28,1000,1.3
1981-01-07,1000,1.6
