DATE,DEPTH,NO2
07/01/1986,1000,1.05
07/01/1986,100,0.96
07/01/1986,2500,1.14
07/01/1986,500,1.02
07/01/1986,2000,1.03
07/01/1986,1500,1.03
11/02/1986,2000,0.83
11/02/1986,100,0.63
11/02/1986,500,0.66
11/02/1986,1000,0.68
11/02/1986,2600,0.87
11/02/1986,1500,0.71
11/03/1986,2000,0.47
11/03/1986,100,0.34
11/03/1986,500,0.36
11/03/1986,1500,0.46
11/03/1986,2600,0.47
11/03/1986,1000,0.43
07/04/1986,2000,0.3
07/04/1986,100,0.01
07/04/1986,1000,0.01
07/04/1986,2500,0.49
07/04/1986,500,0.01
07/04/1986,1500,0.27
22/05/1986,1000,0.02
22/05/1986,1500,0.17
22/05/1986,500,0.01
22/05/1986,100,0.02
22/05/1986,2000,0.19
22/05/1986,2500,0.27
09/06/1986,1000,1.31
09/06/1986,100,0.16
09/06/1986,500,0.03
09/06/1986,2500,1.03
09/06/1986,2000,1.63
09/06/1986,1500,0.01
21/07/1986,2500,0.18
21/07/1986,100,0.13
21/07/1986,2000,0.11
21/07/1986,500,0.07
21/07/1986,1500,0.28
21/07/1986,1000,0.02
07/08/1986,100,0.01
07/08/1986,500,0.01
07/08/1986,2000,0.02
07/08/1986,2400,0.01
07/08/1986,1500,0.02
07/08/1986,1000,0.02
15/09/1986,500,0.01
15/09/1986,2500,0.04
15/09/1986,1500,0.01
15/09/1986,2000,0.01
15/09/1986,1000,0.01
15/09/1986,100,0.02
20/10/1986,100,0.08
20/10/1986,500,0.11
20/10/1986,1000,0.23
20/10/1986,2400,0.35
20/10/1986,1500,0.16
20/10/1986,2000,0.35
02/12/1986,100,1.01
02/12/1986,1500,0.94
02/12/1986,500,0.98
02/12/1986,1000,1.04
02/12/1986,2500,1.04
02/12/1986,2000,1.02
18/12/1986,1500,0
18/12/1986,2000,0.52
18/12/1986,500,0.71
18/12/1986,2500,0.56
18/12/1986,100,0.74
18/12/1986,1000,0
19/02/1987,2500,0.99
19/02/1987,500,0.74
19/02/1987,1500,0.83
19/02/1987,100,0.72
19/02/1987,1000,0.74
19/02/1987,2000,0.91
14/04/1987,1000,0.08
14/04/1987,2000,0.13
14/04/1987,500,0.04
14/04/1987,2600,0.19
14/04/1987,1500,0.15
14/04/1987,100,0.1
18/06/1987,1000,0.04
18/06/1987,2000,0.21
18/06/1987,500,0.03
18/06/1987,100,0.03
18/06/1987,1500,0.12
16/09/1987,100,0.04
16/09/1987,2000,0.5
16/09/1987,2500,0.13
16/09/1987,1500,0
16/09/1987,500,0.02
16/09/1987,1000,0.02
23/11/1987,500,0.2
23/11/1987,2600,0.13
23/11/1987,2000,0.1
23/11/1987,1000,0.27
23/11/1987,1500,0.18
23/11/1987,100,0.2
18/01/1988,2000,0.37
18/01/1988,100,0.71
18/01/1988,1500,0.63
18/01/1988,2500,0.36
18/01/1988,500,0.74
18/01/1988,1000,0.68
19/04/1988,1000,0.04
19/04/1988,2000,0.03
19/04/1988,500,0.02
19/04/1988,2700,0.19
19/04/1988,1500,0.05
19/04/1988,100,0.02
30/05/1988,100,0
30/05/1988,500,0.05
30/05/1988,1500,0.24
30/05/1988,1000,0.06
30/05/1988,2000,0.44
30/05/1988,2700,0.02
20/06/1988,2300,0.14
20/06/1988,2000,0.3
20/06/1988,1500,0.14
20/06/1988,100,0
20/06/1988,500,0
20/06/1988,1000,0.01
21/07/1988,100,0.02
21/07/1988,2400,0.21
21/07/1988,500,0.03
21/07/1988,1500,0.04
21/07/1988,2000,0.19
21/07/1988,1000,0.04
