DATE,DEPTH,OXY
30/04/1957,1000,325
30/04/1957,500,325
30/04/1957,2000,300
30/04/1957,1500,318.8
30/04/1957,2600,281.3
30/04/1957,100,321.9
14/05/1957,500,
14/05/1957,2600,
14/05/1957,100,
14/05/1957,1500,
14/05/1957,2000,
14/05/1957,1000,
04/06/1957,2000,
04/06/1957,100,
04/06/1957,500,
04/06/1957,1000,
04/06/1957,2600,
04/06/1957,1500,
14/06/1957,1500,334.4
14/06/1957,1000,346.9
14/06/1957,100,437.5
14/06/1957,500,340.6
14/06/1957,2600,193.8
14/06/1957,2000,243.8
05/07/1957,1000,331.3
05/07/1957,2600,162.5
05/07/1957,2000,228.1
05/07/1957,500,293.8
05/07/1957,1500,246.9
05/07/1957,100,303.1
30/07/1957,2600,
30/07/1957,1500,
30/07/1957,1000,
30/07/1957,100,
30/07/1957,2000,
30/07/1957,500,
09/09/1957,1500,265.6
09/09/1957,1000,262.5
09/09/1957,2600,209.4
09/09/1957,500,228.1
09/09/1957,2000,212.5
09/09/1957,100,175
31/10/1957,100,300
31/10/1957,1000,253.1
31/10/1957,2600,56.3
31/10/1957,1500,225
31/10/1957,500,293.8
31/10/1957,2000,134.4
07/11/1957,1000,278.1
07/11/1957,500,287.5
07/11/1957,100,296.9
07/11/1957,2600,200
07/11/1957,2000,253.1
07/11/1957,1500,284.4
28/11/1957,500,325
28/11/1957,1000,350
28/11/1957,2600,243.8
28/11/1957,1500,306.3
28/11/1957,2000,315.6
28/11/1957,100,331.3
19/12/1957,2000,334.4
19/12/1957,1500,306.3
19/12/1957,100,337.5
19/12/1957,2600,312.5
19/12/1957,500,346.9
19/12/1957,1000,381.3
15/01/1958,500,356.3
15/01/1958,1500,359.4
15/01/1958,2000,356.3
15/01/1958,100,356.3
15/01/1958,1000,362.5
15/01/1958,2600,309.4
31/01/1958,1000,387.5
31/01/1958,2600,281.3
31/01/1958,100,375
31/01/1958,1500,375
31/01/1958,2000,362.5
31/01/1958,500,381.3
20/03/1958,1500,403.1
20/03/1958,500,409.4
20/03/1958,2600,365.6
20/03/1958,2000,406.3
20/03/1958,1000,403.1
20/03/1958,100,403.1
10/04/1958,1500,437.5
10/04/1958,2000,406.3
10/04/1958,100,431.3
10/04/1958,1000,421.9
10/04/1958,500,440.6
10/04/1958,2600,390.6
07/05/1958,500,240.6
07/05/1958,2000,240.6
07/05/1958,100,243.8
07/05/1958,1000,256.3
07/05/1958,1500,250
07/05/1958,2600,268.8
30/05/1958,500,309.4
30/05/1958,2000,250
30/05/1958,1500,309.4
30/05/1958,2600,250
30/05/1958,100,253.1
30/05/1958,1000,350
19/06/1958,100,334.4
19/06/1958,500,303.1
19/06/1958,1500,325
19/06/1958,1000,331.3
19/06/1958,2000,240.6
19/06/1958,2600,171.9
02/07/1958,1000,321.9
02/07/1958,2000,71.9
02/07/1958,2600,181.3
02/07/1958,500,325
02/07/1958,1500,400
02/07/1958,100,303.1
23/07/1958,2000,215.6
23/07/1958,100,325
23/07/1958,2600,215.6
23/07/1958,1500,265.6
23/07/1958,1000,281.3
23/07/1958,500,337.5
16/08/1958,500,290.6
16/08/1958,1000,315.6
16/08/1958,2600,125
16/08/1958,100,306.3
16/08/1958,2000,190.6
16/08/1958,1500,265.6
01/09/1958,500,293.8
01/09/1958,100,290.6
01/09/1958,2000,268.8
01/09/1958,1000,287.5
01/09/1958,2600,203.1
01/09/1958,1500,290.6
28/10/1958,500,337.5
28/10/1958,1500,181.3
28/10/1958,100,337.5
28/10/1958,2000,237.5
28/10/1958,1000,306.3
28/10/1958,2600,156.3
25/11/1958,1500,287.5
25/11/1958,2000,256.3
25/11/1958,500,318.8
25/11/1958,2600,150
25/11/1958,1000,312.5
25/11/1958,100,312.5
17/12/1958,500,337.5
17/12/1958,1500,343.8
17/12/1958,1000,356.3
17/12/1958,2600,256.3
17/12/1958,2000,212.5
17/12/1958,100,365.6
20/01/1959,1000,412.5
20/01/1959,500,406.3
20/01/1959,1500,409.4
20/01/1959,2600,321.9
20/01/1959,2000,343.8
20/01/1959,100,406.3
11/02/1959,500,365.6
11/02/1959,1500,362.5
11/02/1959,2600,234.4
11/02/1959,1000,384.4
11/02/1959,2000,309.4
11/02/1959,100,393.8
09/03/1959,1000,431.3
09/03/1959,2600,371.9
09/03/1959,100,462.5
09/03/1959,2000,390.6
09/03/1959,1500,393.8
09/03/1959,500,446.9
24/03/1959,2000,421.9
24/03/1959,1000,425
24/03/1959,500,440.6
24/03/1959,100,421.9
24/03/1959,1500,428.1
24/03/1959,2600,321.9
12/05/1959,500,
12/05/1959,100,365.6
12/05/1959,1000,356.3
12/05/1959,2000,318.8
12/05/1959,2600,
12/05/1959,1500,
09/06/1959,1500,328.1
09/06/1959,2000,275
09/06/1959,1000,315.6
09/06/1959,100,343.8
09/06/1959,500,350
09/06/1959,2600,262.5
06/07/1959,1500,331.3
06/07/1959,2600,184.4
06/07/1959,2000,243.8
06/07/1959,100,325
06/07/1959,500,318.8
06/07/1959,1000,325
23/07/1959,100,309.4
23/07/1959,2000,309.4
23/07/1959,1000,306.3
23/07/1959,1500,309.4
23/07/1959,2600,128.1
23/07/1959,500,293.8
28/08/1959,1500,278.1
28/08/1959,1000,306.3
28/08/1959,100,278.1
28/08/1959,2600,71.9
28/08/1959,500,287.5
28/08/1959,2000,193.8
09/10/1959,100,328.1
09/10/1959,1000,334.4
09/10/1959,2600,34.4
09/10/1959,2000,112.5
09/10/1959,500,337.5
09/10/1959,1500,293.8
26/10/1959,2600,34.4
26/10/1959,1000,312.5
26/10/1959,1500,287.5
26/10/1959,2000,68.8
26/10/1959,100,256.3
26/10/1959,500,318.8
19/12/1959,2600,387.5
19/12/1959,100,393.8
19/12/1959,2000,409.4
19/12/1959,1500,406.3
19/12/1959,1000,437.5
19/12/1959,500,412.5
06/01/1960,2000,362.5
06/01/1960,500,365.6
06/01/1960,1000,353.1
06/01/1960,100,406.3
06/01/1960,1500,350
06/01/1960,2600,384.4
26/01/1960,500,471.9
26/01/1960,100,450
26/01/1960,1000,437.5
26/01/1960,2000,384.4
26/01/1960,2600,409.4
26/01/1960,1500,412.5
11/02/1960,1000,396.9
11/02/1960,100,368.8
11/02/1960,2000,346.9
11/02/1960,2600,206.3
11/02/1960,1500,412.5
11/02/1960,500,431.3
02/03/1960,2600,328.1
02/03/1960,1500,375
02/03/1960,2000,412.5
02/03/1960,100,356.3
02/03/1960,1000,462.5
02/03/1960,500,343.8
31/03/1960,500,515.6
31/03/1960,2600,396.9
31/03/1960,100,421.9
31/03/1960,2000,478.1
31/03/1960,1500,471.9
31/03/1960,1000,475
27/04/1960,1500,368.8
27/04/1960,100,381.3
27/04/1960,500,371.9
27/04/1960,2600,346.9
27/04/1960,2000,381.3
27/04/1960,1000,337.5
30/05/1960,500,287.5
30/05/1960,2000,296.9
30/05/1960,100,293.8
30/05/1960,1000,290.6
30/05/1960,2600,168.8
30/05/1960,1500,300
21/06/1960,1500,340.6
21/06/1960,2000,284.4
21/06/1960,100,318.8
21/06/1960,500,321.9
21/06/1960,1000,309.4
21/06/1960,2600,90.6
06/07/1960,1000,275
06/07/1960,100,271.9
06/07/1960,2000,168.8
06/07/1960,1500,262.5
06/07/1960,500,275
06/07/1960,2600,190.6
16/08/1960,1000,275
16/08/1960,2000,168.8
16/08/1960,100,290.6
16/08/1960,1500,265.6
16/08/1960,2600,62.5
16/08/1960,500,290.6
06/09/1960,500,287.5
06/09/1960,1000,231.3
06/09/1960,2000,150
06/09/1960,1500,184.4
06/09/1960,100,290.6
06/09/1960,2600,109.4
18/10/1960,2000,265.6
18/10/1960,2600,21.9
