DATE,DEPTH,PO4
1957-04-30,1000,0.02
1957-04-30,500,0.01
1957-04-30,2000,0.06
1957-04-30,1500,0.03
1957-04-30,2600,0.24
1957-04-30,100,0.0
1957-05-14,500,0.07
1957-05-14,2600,0.41
1957-05-14,100,0.02
1957-05-14,1500,0.15
1957-05-14,2000,0.17
1957-05-14,1000,0.01
1957-06-04,2000,0.46
1957-06-04,100,0.04
1957-06-04,500,0.01
1957-06-04,1000,0.12
1957-06-04,2600,0.75
1957-06-04,1500,0.19
1957-06-14,1500,0.0
1957-06-14,1000,0.01
1957-06-14,100,0.01
1957-06-14,500,0.03
1957-06-14,2600,0.87
1957-06-14,2000,0.04
1957-07-05,1000,0.05
1957-07-05,2600,0.5
1957-07-05,2000,0.41
1957-07-05,500,0.09
1957-07-05,1500,0.42
1957-07-05,100,0.1
1957-07-30,2600,0.81
1957-07-30,1500,0.38
1957-07-30,1000,0.09
1957-07-30,100,0.52
1957-07-30,2000,0.62
1957-07-30,500,0.59
1957-09-09,1500,0.36
1957-09-09,1000,
1957-09-09,2600,
1957-09-09,500,
1957-09-09,2000,0.77
1957-09-09,100,0.16
1957-10-31,100,0.53
1957-10-31,1000,1.05
1957-10-31,2600,2.65
1957-10-31,1500,1.29
1957-10-31,500,0.46
1957-10-31,2000,1.34
1957-11-07,1000,0.83
1957-11-07,500,1.12
1957-11-07,100,0.75
1957-11-07,2600,1.31
1957-11-07,2000,0.59
1957-11-07,1500,0.57
1957-11-28,500,0.42
1957-11-28,1000,0.3
1957-11-28,2600,1.19
1957-11-28,1500,0.89
1957-11-28,2000,1.02
1957-11-28,100,0.4
1957-12-19,2000,0.75
1957-12-19,1500,0.73
1957-12-19,100,0.2
1957-12-19,2600,0.94
1957-12-19,500,0.23
1957-12-19,1000,0.49
1958-01-15,500,0.54
1958-01-15,1500,0.63
1958-01-15,2000,0.65
1958-01-15,100,0.64
1958-01-15,1000,0.61
1958-01-15,2600,0.8
1958-01-31,1000,0.6
1958-01-31,2600,0.43
1958-01-31,100,0.47
1958-01-31,1500,0.6
1958-01-31,2000,0.59
1958-01-31,500,0.51
1958-03-20,1500,0.5
1958-03-20,500,0.29
1958-03-20,2600,0.52
1958-03-20,2000,0.55
1958-03-20,1000,0.41
1958-03-20,100,0.29
1958-04-10,1500,0.04
1958-04-10,2000,0.03
1958-04-10,100,0.04
1958-04-10,1000,0.03
1958-04-10,500,0.04
1958-04-10,2600,0.12
1958-05-07,500,0.06
1958-05-07,2000,0.09
1958-05-07,100,0.08
1958-05-07,1000,0.09
1958-05-07,1500,0.09
1958-05-07,2600,0.09
1958-05-30,500,0.05
1958-05-30,2000,0.09
1958-05-30,1500,0.13
1958-05-30,2600,0.23
1958-05-30,100,0.05
1958-05-30,1000,0.03
1958-06-19,100,0.1
1958-06-19,500,0.12
1958-06-19,1500,0.09
1958-06-19,1000,0.06
1958-06-19,2000,0.14
1958-06-19,2600,0.05
1958-07-02,1000,0.13
1958-07-02,2000,0.34
1958-07-02,2600,0.6
1958-07-02,500,0.32
1958-07-02,1500,0.06
1958-07-02,100,0.11
1958-07-23,2000,0.39
1958-07-23,100,0.13
1958-07-23,2600,0.38
1958-07-23,1500,0.21
1958-07-23,1000,0.08
1958-07-23,500,0.09
1958-08-16,500,0.01
1958-08-16,1000,0.15
1958-08-16,2600,0.05
1958-08-16,100,0.02
1958-08-16,2000,0.05
1958-08-16,1500,0.02
1958-09-01,500,0.07
1958-09-01,100,0.13
1958-09-01,2000,0.12
1958-09-01,1000,0.05
1958-09-01,2600,1.21
1958-09-01,1500,0.08
1958-10-28,500,0.14
1958-10-28,1500,0.51
1958-10-28,100,0.14
1958-10-28,2000,0.71
1958-10-28,1000,0.11
1958-10-28,2600,0.1
1958-11-25,1500,0.87
1958-11-25,2000,1.08
1958-11-25,500,0.52
1958-11-25,2600,1.72
1958-11-25,1000,0.68
1958-11-25,100,0.55
1958-12-17,500,0.48
1958-12-17,1500,0.63
1958-12-17,1000,0.53
