DATE,DEPTH,SIO2
1979-03-12,100,12.9
1979-03-12,2700,13.3
1979-03-12,1000,10.8
1979-03-12,500,6.4
1979-03-12,1500,13.3
1979-03-12,2000,14.9
1979-04-04,2000,2.8
1979-04-04,2500,3.0
1979-04-04,1500,2.2
1979-04-04,100,2.2
1979-04-04,1000,2.0
1979-04-04,500,2.0
1979-04-19,100,2.7
1979-04-19,2000,2.6
1979-04-19,1500,2.4
1979-04-19,1000,2.4
1979-04-19,500,2.2
1979-04-19,2600,3.5
1979-07-09,1500,9.2
1979-07-09,2000,26.0
1979-07-09,100,2.2
1979-07-09,1000,1.3
1979-07-09,500,1.1
1979-07-09,2600,20.9
1979-08-15,2600,32.7
1979-08-15,500,0.4
1979-08-15,1500,5.4
1979-08-15,100,0.4
1979-08-15,2000,12.0
1979-08-15,1000,2.6
1979-09-02,1000,
1979-09-02,1500,
1979-09-02,500,
1979-09-02,2800,
1979-09-02,2500,
1979-09-02,2000,
1979-10-01,2600,41.5
1979-10-01,1000,5.7
1979-10-01,2000,17.2
1979-10-01,500,5.5
1979-10-01,100,5.6
1979-10-01,1500,10.2
1979-11-22,2600,20.0
1979-11-22,1500,7.5
1979-11-22,100,7.5
1979-11-22,2000,7.5
1979-11-22,1000,7.5
1979-11-22,500,7.5
1980-01-28,2000,17.2
1980-01-28,100,16.2
1980-01-28,1000,16.5
1980-01-28,500,16.5
1980-01-28,2500,17.2
1980-01-28,1500,16.6
1980-02-11,100,
1980-02-11,2800,
1980-03-24,2500,1.6
1980-03-24,2000,1.8
1980-03-24,100,1.5
1980-03-24,1500,1.6
1980-03-24,500,1.6
1980-03-24,1000,1.5
1980-05-05,2800,
1980-05-05,100,
1980-05-06,2000,14.8
1980-05-06,2600,19.6
1980-05-06,100,3.3
1980-05-06,500,3.6
1980-05-06,1500,5.1
1980-05-06,1000,5.0
1980-07-21,1000,10.0
1980-07-21,2000,32.2
1980-07-21,500,5.0
1980-07-21,2600,30.7
1980-07-21,1500,21.9
1980-07-21,100,4.4
1980-09-05,500,
1980-09-05,2000,
1980-09-05,2500,
1980-09-05,1000,
1980-09-05,1500,
1980-09-05,2800,
1980-09-22,1000,14.4
1980-09-22,1500,22.5
1980-09-22,2000,29.6
1980-09-22,2600,54.6
1980-09-22,500,9.9
1980-09-22,100,9.4
1980-11-24,100,
1980-11-24,2900,
1980-11-28,1500,18.0
1980-11-28,2500,18.0
1980-11-28,500,18.2
1980-11-28,100,16.1
1980-11-28,2000,18.2
1980-11-28,1000,15.5
1981-01-07,1000,34.6
1981-01-07,100,31.1
1981-01-07,1500,34.3
1981-01-07,2500,29.0
1981-01-07,500,35.3
1981-01-07,2000,34.5
1981-02-23,1000,19.0
1981-02-23,2000,18.7
1981-02-23,500,20.1
1981-02-23,2600,18.8
1981-02-23,1500,18.1
1981-02-23,100,19.4
1981-04-13,100,4.8
1981-04-13,1500,5.8
1981-04-13,2500,28.5
1981-04-13,1000,4.5
1981-04-13,500,5.1
1981-04-13,2000,6.4
1981-07-01,2000,16.4
1981-07-01,1500,17.7
1981-07-01,2600,20.7
1981-07-01,100,3.7
1981-07-01,1000,2.8
1981-07-01,500,4.2
1981-10-05,500,15.5
1981-10-05,2000,49.1
1981-10-05,2600,87.6
1981-10-05,1000,16.8
1981-10-05,1500,19.5
1981-10-05,100,13.9
1982-01-05,2600,19.9
1982-01-05,1500,16.6
1982-01-05,1000,13.7
1982-01-05,2000,40.3
1982-01-05,500,9.8
1982-01-05,100,12.2
1982-02-05,100,52.5
1982-02-05,2600,96.6
1982-04-13,500,3.8
1982-04-13,2000,15.0
1982-04-13,2500,18.5
1982-04-13,100,4.1
1982-04-13,1000,4.7
1982-04-13,1500,3.9
1982-05-14,2800,28.1
1982-05-14,100,21.9
1982-08-12,1000,
1982-08-12,500,
1982-08-12,2400,
1982-08-12,2800,
1982-08-12,100,
1982-08-12,1500,
1982-08-12,2000,
1982-08-24,1000,27.0
1982-08-24,2000,33.2
1982-08-24,1500,33.2
1982-08-24,2500,37.5
1982-08-24,500,16.4
1982-08-24,100,16.5
1982-10-11,1000,7.5
