DATE,DEPTH,TN
1979-03-12,100,46.7
1979-03-12,2700,26.5
1979-03-12,1000,23.5
1979-03-12,500,43.1
1979-03-12,1500,
1979-03-12,2000,44.9
1979-04-04,2000,
1979-04-04,2500,
1979-04-04,1500,
1979-04-04,100,
1979-04-04,1000,
1979-04-04,500,
1979-04-19,100,
1979-04-19,2000,
1979-04-19,1500,
1979-04-19,1000,
1979-04-19,500,
1979-04-19,2600,
1979-07-09,1500,18.8
1979-07-09,2000,18.4
1979-07-09,100,21.1
1979-07-09,1000,18.1
1979-07-09,500,18.8
1979-07-09,2600,22.6
1979-08-15,2600,22.8
1979-08-15,500,14.4
1979-08-15,1500,19.7
1979-08-15,100,13.4
1979-08-15,2000,19.2
1979-08-15,1000,15.5
1979-09-02,1000,22.0
1979-09-02,1500,16.5
1979-09-02,500,20.0
1979-09-02,2800,26.9
1979-09-02,2500,16.1
1979-09-02,2000,16.3
1979-10-01,2600,17.0
1979-10-01,1000,20.3
1979-10-01,2000,42.5
1979-10-01,500,21.7
1979-10-01,100,19.1
1979-10-01,1500,19.3
1979-11-22,2600,18.0
1979-11-22,1500,17.7
1979-11-22,100,18.3
1979-11-22,2000,18.0
1979-11-22,1000,17.4
1979-11-22,500,17.7
1980-01-28,2000,28.3
1980-01-28,100,27.3
1980-01-28,1000,27.0
1980-01-28,500,27.3
1980-01-28,2500,29.3
1980-01-28,1500,28.0
1980-02-11,100,57.8
1980-02-11,2800,66.4
1980-03-24,2500,24.0
1980-03-24,2000,22.0
1980-03-24,100,22.0
1980-03-24,1500,23.0
1980-03-24,500,24.0
1980-03-24,1000,23.0
1980-05-05,2800,38.6
1980-05-05,100,30.0
1980-05-06,2000,26.8
1980-05-06,2600,18.2
1980-05-06,100,21.3
1980-05-06,500,20.9
1980-05-06,1500,17.8
1980-05-06,1000,22.5
1980-07-21,1000,
1980-07-21,2000,
1980-07-21,500,
1980-07-21,2600,
1980-07-21,1500,
1980-07-21,100,
1980-09-05,500,36.2
1980-09-05,2000,36.8
1980-09-05,2500,29.6
1980-09-05,1000,42.0
1980-09-05,1500,18.4
1980-09-05,2800,37.1
1980-09-22,1000,16.1
1980-09-22,1500,19.5
1980-09-22,2000,20.5
1980-09-22,2600,24.5
1980-09-22,500,14.6
1980-09-22,100,17.1
1980-11-24,100,32.1
1980-11-24,2900,34.3
1980-11-28,1500,20.0
1980-11-28,2500,18.6
1980-11-28,500,19.1
1980-11-28,100,22.7
1980-11-28,2000,17.7
1980-11-28,1000,24.1
1981-01-07,1000,31.1
1981-01-07,100,28.1
1981-01-07,1500,27.0
1981-01-07,2500,25.5
1981-01-07,500,28.1
1981-01-07,2000,26.3
1981-02-23,1000,23.7
1981-02-23,2000,22.7
1981-02-23,500,24.1
1981-02-23,2600,22.9
1981-02-23,1500,23.7
1981-02-23,100,23.7
1981-04-13,100,3.5
1981-04-13,1500,5.8
1981-04-13,2500,23.1
1981-04-13,1000,3.3
1981-04-13,500,2.9
1981-04-13,2000,10.6
1981-07-01,2000,10.0
1981-07-01,1500,10.0
1981-07-01,2600,12.0
1981-07-01,100,3.0
1981-07-01,1000,3.0
1981-07-01,500,4.0
1981-10-05,500,20.0
1981-10-05,2000,24.0
1981-10-05,2600,43.0
1981-10-05,1000,20.0
1981-10-05,1500,15.0
1981-10-05,100,24.0
1982-01-05,2600,
1982-01-05,1500,
1982-01-05,1000,
1982-01-05,2000,
1982-01-05,500,
1982-01-05,100,
1982-02-05,100,35.7
1982-02-05,2600,40.0
1982-04-13,500,14.3
1982-04-13,2000,18.0
1982-04-13,2500,18.4
1982-04-13,100,13.5
1982-04-13,1000,10.5
1982-04-13,1500,9.0
1982-05-14,2800,47.9
1982-05-14,100,25.7
1982-08-12,1000,15.9
1982-08-12,500,20.7
1982-08-12,2400,14.6
1982-08-12,2800,26.8
1982-08-12,100,21.5
1982-08-12,1500,17.2
1982-08-12,2000,17.2
1982-08-24,1000,
1982-08-24,2000,
1982-08-24,1500,
1982-08-24,2500,
1982-08-24,500,
1982-08-24,100,
1982-10-11,1000,10.6
1982-10-11,2500,11.3
1982-10-11,1500,10.4
1982-10-11,100,11.5
1982-10-11,500,11.4
1982-10-11,2000,11.4
1982-12-01,1000,
