DATE,DEPTH,TP
30/04/1957,1000,0.55
30/04/1957,500,0.39
30/04/1957,2000,0.84
30/04/1957,1500,0.16
30/04/1957,2600,0.87
30/04/1957,100,0.71
14/05/1957,500,0.45
14/05/1957,2600,0.77
14/05/1957,100,0.45
14/05/1957,1500,0.65
14/05/1957,2000,0.55
14/05/1957,1000,0.55
04/06/1957,2000,0.94
04/06/1957,100,0.65
04/06/1957,500,0.52
04/06/1957,1000,0.68
04/06/1957,2600,1.23
04/06/1957,1500,0.71
14/06/1957,1500,0.42
14/06/1957,1000,0.42
14/06/1957,100,0.29
14/06/1957,500,0.29
14/06/1957,2600,1.39
14/06/1957,2000,1.1
05/07/1957,1000,0.45
05/07/1957,2600,
05/07/1957,2000,0.52
05/07/1957,500,0.19
05/07/1957,1500,0.65
05/07/1957,100,0.23
30/07/1957,2600,
30/07/1957,1500,0.42
30/07/1957,1000,0.13
30/07/1957,100,
30/07/1957,2000,0.74
30/07/1957,500,
09/09/1957,1500,0.71
09/09/1957,1000,0.84
09/09/1957,2600,1.42
09/09/1957,500,0.68
09/09/1957,2000,1.39
09/09/1957,100,0.52
31/10/1957,100,
31/10/1957,1000,
31/10/1957,2600,3.45
31/10/1957,1500,2
31/10/1957,500,
31/10/1957,2000,1.71
07/11/1957,1000,1.16
07/11/1957,500,1.49
07/11/1957,100,1.36
07/11/1957,2600,1.61
07/11/1957,2000,1.61
07/11/1957,1500,1.07
28/11/1957,500,0.84
28/11/1957,1000,0.9
28/11/1957,2600,2.26
28/11/1957,1500,1.16
28/11/1957,2000,1.58
28/11/1957,100,0.94
19/12/1957,2000,0.97
19/12/1957,1500,
19/12/1957,100,0.61
19/12/1957,2600,2
19/12/1957,500,0.65
19/12/1957,1000,
15/01/1958,500,0.87
15/01/1958,1500,0.71
15/01/1958,2000,0.81
15/01/1958,100,1
15/01/1958,1000,0.77
15/01/1958,2600,1.13
31/01/1958,1000,0.84
31/01/1958,2600,1.58
31/01/1958,100,0.9
31/01/1958,1500,
31/01/1958,2000,1.58
31/01/1958,500,0.65
20/03/1958,1500,0.61
20/03/1958,500,0.81
20/03/1958,2600,0.9
20/03/1958,2000,0.61
20/03/1958,1000,0.65
20/03/1958,100,0.81
10/04/1958,1500,0.1
10/04/1958,2000,0.19
10/04/1958,100,0.39
10/04/1958,1000,0.1
10/04/1958,500,0.19
10/04/1958,2600,0.16
07/05/1958,500,0.06
07/05/1958,2000,0.29
07/05/1958,100,0.36
07/05/1958,1000,0.1
07/05/1958,1500,0.13
07/05/1958,2600,0.16
30/05/1958,500,
30/05/1958,2000,0.55
30/05/1958,1500,0.61
30/05/1958,2600,0.26
30/05/1958,100,
30/05/1958,1000,0.52
19/06/1958,100,0.32
19/06/1958,500,0.23
19/06/1958,1500,0.1
19/06/1958,1000,0.29
19/06/1958,2000,0.55
19/06/1958,2600,0.84
02/07/1958,1000,0.29
02/07/1958,2000,1.42
02/07/1958,2600,1.39
02/07/1958,500,
02/07/1958,1500,0.26
02/07/1958,100,0.26
23/07/1958,2000,0.55
23/07/1958,100,0.45
23/07/1958,2600,0.52
23/07/1958,1500,0.45
23/07/1958,1000,
23/07/1958,500,0.13
16/08/1958,500,0.68
16/08/1958,1000,0.65
16/08/1958,2600,1.45
16/08/1958,100,0.84
16/08/1958,2000,1.32
16/08/1958,1500,0.65
01/09/1958,500,0.68
01/09/1958,100,0.9
01/09/1958,2000,0.97
01/09/1958,1000,0.97
01/09/1958,2600,2.39
01/09/1958,1500,0.81
28/10/1958,500,0.81
28/10/1958,1500,1.58
28/10/1958,100,1.26
28/10/1958,2000,2.2
28/10/1958,1000,1.65
28/10/1958,2600,2.23
25/11/1958,1500,2.32
25/11/1958,2000,1.49
25/11/1958,500,1.42
25/11/1958,2600,2.62
25/11/1958,1000,2.91
25/11/1958,100,1.16
17/12/1958,500,1.16
17/12/1958,1500,2.16
17/12/1958,1000,1.97
17/12/1958,2600,2.74
17/12/1958,2000,1.84
17/12/1958,100,
20/01/1959,1000,1.29
20/01/1959,500,1.23
20/01/1959,1500,1.49
20/01/1959,2600,1.9
20/01/1959,2000,1.32
20/01/1959,100,1.29
11/02/1959,500,1.13
11/02/1959,1500,
11/02/1959,2600,1.19
11/02/1959,1000,1
11/02/1959,2000,1.07
